score,at,content,app_name,appVersion,cleaned_content,sentiment
5,9/1/2025 14:51,Mempermudah akses perjalanan,Access by KAI,6.13.2,mempermudah akses perjalanan,positive
1,9/1/2025 14:47,gabisa daftar,Access by KAI,6.13.2,tidak bisa daftar,negative
5,9/1/2025 13:47,sangat mudah digunakan,Access by KAI,6.13.2,sangat mudah digunakan,positive
5,9/1/2025 13:25,Perjalanan dengan KAI nyaman dan tepat waktu.,Access by KAI,6.13.2,perjalanan dengan kai nyaman dan tepat waktu.,positive
2,9/1/2025 12:53,top up saldo kai lama delay masuknya,Access by KAI,6.13.2,top up saldo kai lama delay masuknya,negative
5,9/1/2025 12:26,baik,Access by KAI,6.13.2,baik,positive
5,9/1/2025 11:50,"kenapa tidak bisa masuk, kenapa harus menjadi member basic sedangkan dulu saya tidak jadi member juga bisa dipakai. masuk jadi member basic tapi pas isi data tetap saja tidak bisa, mohon info nya",Access by KAI,6.13.2,"kenapa tidak bisa masuk, kenapa harus menjadi member basic sedangkan dulu saya tidak jadi member juga bisa dipakai. masuk jadi member basic tapi pas isi data tetap saja tidak bisa, mohon info nya",negative
5,9/1/2025 11:27,good,Access by KAI,6.13.2,bagus,positive
5,9/1/2025 9:52,pemesanan yg cepat dan mudah...tx KAI,Access by KAI,6.13.2,pemesanan yang cepat dan mudah.tak kai,positive
5,9/1/2025 9:36,sangat membantu,Access by KAI,6.13.2,sangat membantu,positive
5,9/1/2025 9:36,good,Access by KAI,6.13.2,bagus,positive
1,9/1/2025 9:04,"apaan, jadwalnya ga muncul. kereta lokal/antar kota. padahal udah premium",Access by KAI,,"apaan, jadwalnya tidak muncul. kereta lokal/antar kota. padahal sudah premium",negative
5,9/1/2025 7:55,transportasi yang nyaman,Access by KAI,6.13.2,transportasi yang nyaman,positive
5,9/1/2025 7:22,ok,Access by KAI,6.13.2,ok,positive
1,9/1/2025 6:09,mau beli tiket aja gak bisa. di suruh daftar member basic. tp pas sudah isi data malah gak bisa login. aplikasi gak jelas,Access by KAI,6.13.2,mau beli tiket saja tidak bisa. di suruh daftar member basic. tapi pas sudah isi data malah tidak bisa login. aplikasi tidak jelas,negative
5,9/1/2025 6:05,terimakasih.. dapat dibatalkan tanpa ribet...,Access by KAI,6.13.2,terimakasih. dapat dibatalkan tanpa ribet.,positive
5,9/1/2025 5:50,baguss,Access by KAI,6.13.2,bagus,positive
1,9/1/2025 5:30,"aplikasi bego bin tolol.. Udah ribet, gagal mulu pas Topup. klo blom siap punya aplikasi, mending HAPUS aja aplikasi sampah",Access by KAI,6.13.2,"aplikasi bego bin tolol. sudah ribet, gagal mulu pas topup. kalau belum siap punya aplikasi, mending hapus saja aplikasi sampah",negative
1,9/1/2025 5:29,"Fitur refund ribet, sudah refund via akun bank yg sesuai dgn data penumpang pun masih tetap gagal. apalagi yg gak punya akun bank makin ribet nantinya.",Access by KAI,,"fitur refund ribet, sudah refund via akun bank yang sesuai dengan data penumpang pun masih tetap gagal. apalagi yang tidak punya akun bank makin ribet nantinya.",negative
5,9/1/2025 4:11,sangat sangat baikp,Access by KAI,6.13.2,sangat sangat baikp,positive
5,9/1/2025 4:11,keren,Access by KAI,6.13.2,keren,positive
5,9/1/2025 3:51,smg lbh cepat proses pengembalian dananya,Access by KAI,6.13.2,semoga lebih cepat proses pengembalian dananya,positive
5,9/1/2025 3:34,baik,Access by KAI,6.13.2,baik,positive
1,9/1/2025 2:31,"1. susah dan ribet pembatalan tiket, jaman digital kok masih ribet. 2. pemesanan dengan nama yang sama pada hari dan jam keberangkatan yang sama, masih bisa dilakukan. mestinya auto protect dong, payah nih 3. layanan pelanggan pelayanan lamaaaaaaa sekali nunggunya, begitu dapet cs sambungan putus sendiri harus diulang berkali-kali itupun kalo sabar, habis ini gua hapus aplikasinya",Access by KAI,,"1. susah dan ribet pembatalan tiket, jaman digital kok masih ribet. 2. pemesanan dengan nama yang sama pada hari dan jam keberangkatan yang sama, masih bisa dilakukan. mestinya auto protect dong, payah nih 3. layanan pelanggan pelayanan lama sekali nunggunya, begitu dapat cs sambungan putus sendiri harus diulang berkali-kali itupun kalau sabar, habis ini gua hapus aplikasinya",negative
5,9/1/2025 2:21,jooss,Access by KAI,6.13.2,joos,positive
5,9/1/2025 2:18,"mantap,mudah dan cepat",Access by KAI,6.13.2,"mantap,mudah dan cepat",positive
4,9/1/2025 1:27,oke,Access by KAI,6.13.2,oke,positive
4,9/1/2025 0:50,"hai developer, kenapa saya daftar ngga bisa, terus di menu buat sandi ,pas saya buat sandi juga di klik oke lanjutkan itu gak bisa?",Access by KAI,6.13.2,"hai developer, kenapa saya daftar tidak bisa, terus di menu buat sandi ,pas saya buat sandi juga di klik oke lanjutkan itu tidak bisa?",positive
5,9/1/2025 0:38,cepat dan tepat,Access by KAI,6.13.2,cepat dan tepat,positive
5,9/1/2025 0:34,bagus membantu dalam transportasi perjalanan.,Access by KAI,6.13.2,bagus membantu dalam transportasi perjalanan.,positive
5,8/31/2025 17:18,kereeeen,Access by KAI,6.13.2,keren,positive
5,8/31/2025 16:57,baik,Access by KAI,6.13.2,baik,positive
1,8/31/2025 16:51,"aplikasi tidak jelas, setiap mau pembayaran error terus padahal saya sudah input data dengan benar, tetapi setiap proses pembayaran pasti invalid, developer bisa urus aplikasi mu tidak?, ini aplikasi resmi milik KAI namun terlalu banyak bug/error, masih lebih mudah pakai aplikasi lain untuk pesan tiket kereta",Access by KAI,6.13.2,"aplikasi tidak jelas, setiap mau pembayaran error terus padahal saya sudah input data dengan benar, tetapi setiap proses pembayaran pasti invalid, developer bisa urus aplikasi mu tidak?, ini aplikasi resmi milik kai namun terlalu banyak bug/error, masih lebih mudah pakai aplikasi lain untuk pesan tiket kereta",negative
5,8/31/2025 16:23,josss,Access by KAI,6.13.2,jos,positive
4,8/31/2025 16:11,Tolong stiap selesai transaksi & melakukan pembayaran tampilin di riwayat pembelian/kirim invoicenya ke email dong min ????,Access by KAI,6.13.2,tolong setiap selesai transaksi & melakukan pembayaran tampilin di riwayat pembelian/kirim invoicenya ke email dong min melipat tangan warna kulit cerah,positive
5,8/31/2025 15:47,Mantap,Access by KAI,6.13.2,mantap,positive
5,8/31/2025 15:47,cepat mengakses sangat terbantukan,Access by KAI,6.13.2,cepat mengakses sangat terbantukan,positive
5,8/31/2025 15:39,aplikasi yang bagus dan menyingkat waktu,Access by KAI,6.13.2,aplikasi yang bagus dan menyingkat waktu,positive
5,8/31/2025 15:11,terimakasih diberi kemudahannya,Access by KAI,6.13.2,terimakasih diberi kemudahannya,positive
1,8/31/2025 14:48,mau beli tiket kok sulit,Access by KAI,6.13.2,mau beli tiket kok sulit,negative
1,8/31/2025 14:32,"aplikasinya eror mau login susahnya minta ampun, padahal datanya sudah cocok semua akhirnya di uninstal deh",Access by KAI,,"aplikasinya error mau login susahnya meminta ampun, padahal datanya sudah cocok semua akhirnya di uninstall deh",negative
5,8/31/2025 14:27,baguss,Access by KAI,6.13.2,bagus,positive
5,8/31/2025 13:32,ok,Access by KAI,6.13.2,ok,positive
1,8/31/2025 11:31,lambat proses nya transaksi udh 2x tp ga ada boarding pas nya,Access by KAI,,lambat proses nya transaksi sudah 2x tapi tidak ada boarding pas nya,negative
3,8/31/2025 11:15,kursi penumpang tidak ada arahnya,Access by KAI,,kursi penumpang tidak ada arahnya,neutral
5,8/31/2025 9:09,aplikasi sangat baik dan cepat prosesnya,Access by KAI,6.13.2,aplikasi sangat baik dan cepat prosesnya,positive
5,8/31/2025 8:24,good,Access by KAI,6.13.2,bagus,neutral
5,8/31/2025 7:37,pemesanan yang benar benar meyakinkan,Access by KAI,6.13.2,pemesanan yang benar benar meyakinkan,positive
1,8/31/2025 7:24,"WEH INI SEMUA UDA BENER,KOK BARANG MAU BIKIN SANDI DISUSAHIN TERUS DARI KEMARIN",Access by KAI,6.13.2,"weh ini semua sudah benar,kok barang mau bikin sandi disusahin terus dari kemarin",negative
5,8/31/2025 6:54,perfect,Access by KAI,6.13.2,perfect,positive
5,8/31/2025 6:41,bagus,Access by KAI,6.13.2,bagus,positive
5,8/31/2025 5:36,ok,Access by KAI,6.13.2,ok,positive
5,8/31/2025 4:49,terbaik,Access by KAI,6.13.2,terbaik,positive
5,8/31/2025 4:18,ok,Access by KAI,6.13.2,ok,positive
1,8/31/2025 4:04,"Lama banget top up nya, masa nunggu 15 menit",Access by KAI,6.13.2,"lama banget top up nya, masa menunggu 15 menit",negative
3,8/31/2025 3:09,"Bbrp bulan kemarin sy pakai aplikasi ini dg fitur bs lihat gender penumpang lain, jd Qt bs milih kursi yg Deket dg gender yg Qt inginkan, sy mengapresiasi bagus sekali fitur ini... tp hr ini sy download lg, fitur ini sdh gak ada. Jadi gak bs milih gender disamping kursi Qt... knp ya kak? maaf yaa...sy kasih bintang 3 dulu...kl fitur ini sdh ada lg, nanti sy kasih bintang 5 deh...",Access by KAI,6.13.2,"beberapa bulan kemarin saya pakai aplikasi ini dengan fitur bisa lihat gender penumpang lain, jadi kita bisa memilih kursi yang dekat dengan gender yang kita inginkan, saya mengapresiasi bagus sekali fitur ini. tapi hari ini saya download lagi, fitur ini sudah tidak ada. jadi tidak bisa memilih gender disamping kursi kita. kenapa ya kak? maaf ya.saya kasih bintang 3 dulu.kalau fitur ini sudah ada lagi, nanti saya kasih bintang 5 deh.",neutral
4,8/31/2025 3:07,baik,Access by KAI,6.13.2,baik,positive
5,8/31/2025 2:58,"Refund pembatalan tiket 7 hari, diawal² dulu satu bulan..??",Access by KAI,6.13.2,"refund pembatalan tiket 7 hari, diawal² dulu satu bulan. jempol ke atas",positive
5,8/31/2025 2:43,ok banget,Access by KAI,6.13.2,ok banget,positive
5,8/31/2025 1:05,sangat baik,Access by KAI,6.13.2,sangat baik,positive
5,8/31/2025 1:00,bagus,Access by KAI,6.13.2,bagus,positive
5,8/30/2025 23:47,mantap,Access by KAI,6.13.2,mantap,positive
1,8/30/2025 23:37,mau login daftar tpi ga bisa simpan.,Access by KAI,,mau login daftar tapi tidak bisa simpan.,negative
3,8/30/2025 22:36,potongan pembayaran banyak banget,Access by KAI,6.13.2,potongan pembayaran banyak banget,neutral
1,8/30/2025 22:32,sudah 10 hari lebih. aplikasi tidak bisa digunakan. adakah yang mengalaminya juga. khawatir disitu ada data lengkap kita,Access by KAI,6.13.2,sudah 10 hari lebih. aplikasi tidak bisa digunakan. adakah yang mengalaminya juga. khawatir disitu ada data lengkap kita,negative
1,8/30/2025 21:26,aplikasi selalu minta pasword padahal sdh benar tp tetrp tdk bisa masuk ??????????,Access by KAI,6.13.2,aplikasi selalu meminta pasword padahal sudah benar tapi tetrp tidak bisa masuk jempol ke bawah jempol ke bawah jempol ke bawah jempol ke bawah jempol ke bawah,negative
1,8/30/2025 19:51,"UDAH MENANG WAR TIKET, UDAH BAYAR JUGA, SALDO JUGA UDAH KURANG. TAPI TIKET NGGAK ADA, APLIKASI ANEH.",Access by KAI,,"sudah menang war tiket, sudah bayar juga, saldo juga sudah kurang. tapi tiket tidak ada, aplikasi aneh.",negative
5,8/30/2025 19:07,aplikasi gak bisa buat pesan tiket dari akhir bulan Maret sampe sekarang kenapa ya? udah update bolak balek tapi ttep gabisa buat pesan tiket kereta nya,Access by KAI,6.13.2,aplikasi tidak bisa buat pesan tiket dari akhir bulan maret sampai sekarang kenapa ya? sudah update bolak balek tapi tetap tidak bisa buat pesan tiket kereta nya,negative
2,8/30/2025 18:03,"tolong ditingkatkan lagi utk servernya...jangan sampai looding terus,alhasil kelamaan looding tau2 kursi sudah habis padahal udh pesen tiket udh pas jm 12 mlm,eh malah bisa masuk jm stngah 1 udh habis kursinya",Access by KAI,6.13.2,"tolong ditingkatkan lagi untuk servernya.jangan sampai looding terus,alhasil kelamaan looding tau-tau kursi sudah habis padahal sudah pesan tiket sudah pas jm 12 malam,eh malah bisa masuk jm stngah 1 sudah habis kursinya",negative
1,8/30/2025 17:53,aplikasi dongo. Semua aplikasi BUMN kayak sampah,Access by KAI,6.13.2,aplikasi dongo. semua aplikasi bumn kayak sampah,negative
1,8/30/2025 17:49,beli tiket lokal udah berhasil pembayaran namun tiket tak kunjung ada,Access by KAI,6.13.2,beli tiket lokal sudah berhasil pembayaran namun tiket tak kunjung ada,negative
1,8/30/2025 17:48,"hangkrek peh tuku tiket angel men,onok tulisan e not seat avalibe telek??",Access by KAI,6.13.2,"hangkrek peh tuku tiket angel men,onok tulisan e not seat avalibe telek wajah terbalik",negative
3,8/30/2025 17:45,"Server mudah penuh, tiap ganti page selalu lama dan rawan timeout. Scalling up aja, tambah kapasitas hardware²nya, ajukan proposal buat pengadaan, atau alternatif lain pakai cloud. Juga kasih tambahan fitur ""lanjutkan pemesanan"" jadi ketika pelanggan tiba² dikeluarkan saat memesan karena timeout atau server penuh bisa akses pemesanannya lagi dan melanjutkannya. Atau tambah ""waiting room"" jadi ketika server hampir penuh maka pelanggan akan mengantri terlebih dahulu sampai server lebih lega.",Access by KAI,6.13.2,"server mudah penuh, tiap ganti page selalu lama dan rawan timeout. scalling up saja, tambah kapasitas hardware²nya, ajukan proposal buat pengadaan, atau alternatif lain pakai cloud. juga kasih tambahan fitur ""lanjutkan pemesanan"" jadi ketika pelanggan tiba² dikeluarkan saat memesan karena timeout atau server penuh bisa akses pemesanannya lagi dan melanjutkannya. atau tambah ""waiting room"" jadi ketika server hampir penuh maka pelanggan akan mengantri terlebih dahulu sampai server lebih lega.",neutral
1,8/30/2025 17:40,"apa-apaan ini? kenapa ketika mau pesan sangat sulit? pasti selalu tertunda lama sehingga saya harus membatalkan pesanan, hari ini malah ada tulisan seat available padahal di list masih tertulis tersedia. padahal saya sudah menunggu 30 menit. access semakin lama semakin menyusahkan????????????",Access by KAI,6.13.2,"apa-apaan ini? kenapa ketika mau pesan sangat sulit? pasti selalu tertunda lama sehingga saya harus membatalkan pesanan, hari ini malah ada tulisan seat available padahal di list masih tertulis tersedia. padahal saya sudah menunggu 30 menit. akses semakin lama semakin menyusahkan jempol ke bawah warna kulit cerah jempol ke bawah warna kulit cerah jempol ke bawah warna kulit cerah",negative
1,8/30/2025 17:31,"aplikasi jelek ribet lemot, sudah dibayar saldo berkurang malah tiket gk muncul, sudah ditungguin standby loading terus malah gak dapet tiket, gk memudahkan malah bikin susah.",Access by KAI,6.13.2,"aplikasi jelek ribet lemot, sudah dibayar saldo berkurang malah tiket tidak muncul, sudah ditungguin standby loading terus malah tidak dapat tiket, tidak memudahkan malah bikin susah.",negative
1,8/30/2025 17:31,Aplikasi sampahh,Access by KAI,6.13.2,aplikasi sampah,negative
5,8/30/2025 17:30,"saya baru saja beli tiket, dan berhasil ini kok ga ada tiket nya",Access by KAI,6.13.2,"saya baru saja beli tiket, dan berhasil ini kok tidak ada tiket nya",positive
1,8/30/2025 17:27,Selalu kalah ama bot calo,Access by KAI,6.13.2,selalu kalah sama bot calo,negative
3,8/30/2025 17:19,PAS WAR TIKET LEMOT BNGT UDH HMPIR 20 MNT MASIH EROR.,Access by KAI,6.13.2,pas war tiket lemot banget sudah hampir 20 minta masih error.,neutral
1,8/30/2025 17:14,busuk sering terjadi transaksi tinggi,Access by KAI,6.13.2,busuk sering terjadi transaksi tinggi,negative
5,8/30/2025 17:13,Makasih udah ngasih tiket urgent,Access by KAI,,terima kasih sudah mengasih tiket urgent,positive
1,8/30/2025 17:12,"gk jelas anj, ngelag terus",Access by KAI,6.13.2,"tidak jelas anjing, ngelag terus",negative
1,8/30/2025 17:10,aplikasi sering eror terutama waktu pembayaran,Access by KAI,6.13.2,aplikasi sering error terutama waktu pembayaran,negative
5,8/30/2025 15:31,ok,Access by KAI,6.13.2,ok,positive
5,8/30/2025 14:22,sangat bagus,Access by KAI,6.13.2,sangat bagus,positive
4,8/30/2025 13:45,"sebel amaaat, setiap buka aplikasi harus update teroooos, maless",Access by KAI,6.13.0,"sebel amaaat, setiap buka aplikasi harus update teroooos, males",negative
5,8/30/2025 13:35,recommended,Access by KAI,6.13.2,recommended,positive
5,8/30/2025 13:17,semoga KAU selalu yg terbaik,Access by KAI,6.13.2,semoga kau selalu yang terbaik,positive
1,8/30/2025 12:40,"aplikasi apaan ini. gua isi saldo lewat BCA, duit udh ketarik tapi saldo di kartu belum nambah-nambah",Access by KAI,6.13.2,"aplikasi apaan ini. gua isi saldo lewat baca, duit sudah tertarik tapi saldo di kartu belum menambah-menambah",negative
5,8/30/2025 12:15,sangat membantu pulang pergi kerja - rumah...,Access by KAI,6.13.2,sangat membantu pulang pergi kerja - rumah.,positive
5,8/30/2025 11:51,sangat membantu untuk pembayaran kereta api ??,Access by KAI,6.13.2,sangat membantu untuk pembayaran kereta api api,positive
1,8/30/2025 11:29,apk sampah,Access by KAI,6.11.2,aplikasi sampah,negative
5,8/30/2025 11:10,sangat comfortable,Access by KAI,6.13.2,sangat comfortable,positive
3,8/30/2025 10:02,"tolong dong untuk proses refund pengembalian dana y kaya aplikasi treveloka dan yg lain, ketika refund itu ga nunggu 7 hari, langsung masuk ke rekening, tolong perbaiki lagi sistem y dari tgl 24 refund, sampe skrg tgl 30, dana belum masuk juga ke rekening saya",Access by KAI,6.13.2,"tolong dong untuk proses refund pengembalian dana ya kayak aplikasi treveloka dan yang lain, ketika refund itu tidak menunggu 7 hari, langsung masuk ke rekening, tolong perbaiki lagi sistem ya dari tanggal 24 refund, sampai sekarang tanggal 30, dana belum masuk juga ke rekening saya",neutral
5,8/30/2025 9:51,Bisa beli online dan hanya boarding pass saja,Access by KAI,6.13.2,bisa beli online dan hanya boarding pas saja,positive
4,8/30/2025 9:42,ok,Access by KAI,6.13.2,ok,positive
1,8/30/2025 9:06,mau liat riwayat transaksi tidak bisa . padahal mau klaim buat perjalanan dinas sangat di sayangkan sekali . apk sekelas KAI kok begini,Access by KAI,6.13.2,mau lihat riwayat transaksi tidak bisa . padahal mau klaim buat perjalanan dinas sangat di sayangkan sekali . aplikasi sekelas kai kok begini,negative
4,8/30/2025 9:04,agak sayang pembatalan tiket hanya bisa dilakukan pada nama penumpang yang juga memiliki akun yang sedang digunakan,Access by KAI,6.13.2,agak sayang pembatalan tiket hanya bisa dilakukan pada nama penumpang yang juga memiliki akun yang sedang digunakan,neutral
1,8/30/2025 8:27,"Unduh aplikasi ini hanya bila anda termasuk sebagai penumpang. Apabila anda hanya unduh untuk membeli tiket orang lain, anda tidak akan dapat melakukan perubahan jadwal maupun pembatalan apapun. Anda akan tetap harus melakukannya di loket (stasiun) terdekat. Dan pembatalan anda tetap kena charge 25% dari harga tiket walaupun anda sudah membeli asuransi jaminan ""no cancelation/reschedule fee"".",Access by KAI,6.13.2,"unduh aplikasi ini hanya bila anda termasuk sebagai penumpang. apabila anda hanya unduh untuk membeli tiket orang lain, anda tidak akan dapat melakukan perubahan jadwal maupun pembatalan apapun. anda akan tetap harus melakukannya di loket (stasiun) terdekat. dan pembatalan anda tetap kena charge 25% dari harga tiket walaupun anda sudah membeli asuransi jaminan ""no cancelation/reschedule fe"".",negative
1,8/30/2025 7:42,underrate buat login karna kadaluarsa sandi pun lupa....... tak bisa login buat akun pun sama abis 3 ndk paham aku,Access by KAI,6.13.2,underrate buat login karena kadaluarsa sandi pun lupa. tak bisa login buat akun pun sama habis 3 ndk paham aku,negative
3,8/30/2025 6:15,"masukan aja buat KAI perbaiki sistem nya, pesan tiket sering gangguan, dana sudah terpotong tp tiket tidak muncul, pengembalian dana harus hubungi cs itu pun dana tidak langsung kembali, tolong di permudah dan kurangi error nya terima kasih",Access by KAI,6.13.2,"masukan saja buat kai perbaiki sistem nya, pesan tiket sering gangguan, dana sudah terpotong tapi tiket tidak muncul, pengembalian dana harus hubungi cs itu pun dana tidak langsung kembali, tolong di permudah dan kurangi error nya terima kasih",neutral
1,8/30/2025 5:48,sekarang aplikasinya sering error buat buka Commuter Line Jabodetabek!,Access by KAI,6.13.2,sekarang aplikasinya sering error buat buka commuter line jabodetabek!,negative
5,8/30/2025 5:43,maksih loh kai memudahkan kami yang mau naik kereta sama pelayanannya bagus makasih yah,Access by KAI,6.13.2,terima kasih loh kai memudahkan kami yang mau naik kereta sama pelayanannya bagus terima kasih ya,positive
5,8/30/2025 4:20,okokok,Access by KAI,6.13.2,okokok,positive
5,8/30/2025 3:51,mantap,Access by KAI,6.13.2,mantap,positive
1,8/30/2025 3:47,"buruk, aplikasi lambat",Access by KAI,6.13.2,"buruk, aplikasi lambat",negative
1,8/30/2025 2:35,mau bikin akun konfirmasi sandi ga bisa bisa apk cacat,Access by KAI,,mau bikin akun konfirmasi sandi tidak bisa bisa aplikasi cacat,negative
