score,at,content,app_name,appVersion,sentiment
5,9/1/2025 13:25,Perjalanan dengan KAI nyaman dan tepat waktu.,Access by KAI,6.13.2,positive
2,9/1/2025 12:53,top up saldo kai lama delay masuknya,Access by KAI,6.13.2,negative
5,9/1/2025 12:26,baik,Access by KAI,6.13.2,positive
5,9/1/2025 11:50,"kenapa tidak bisa masuk, kenapa harus menjadi member basic sedangkan dulu saya tidak jadi member juga bisa dipakai. masuk jadi member basic tapi pas isi data tetap saja tidak bisa, mohon info nya",Access by KAI,6.13.2,negative
5,9/1/2025 11:27,good,Access by KAI,6.13.2,positive
5,9/1/2025 9:52,pemesanan yg cepat dan mudah...tx KAI,Access by KAI,6.13.2,positive
5,9/1/2025 9:36,sangat membantu,Access by KAI,6.13.2,positive
5,9/1/2025 9:36,good,Access by KAI,6.13.2,positive
1,9/1/2025 9:04,"apaan, jadwalnya ga muncul. kereta lokal/antar kota. padahal udah premium",Access by KAI,,negative
5,9/1/2025 7:55,transportasi yang nyaman,Access by KAI,6.13.2,positive
5,9/1/2025 7:22,ok,Access by KAI,6.13.2,positive
1,9/1/2025 6:09,mau beli tiket aja gak bisa. di suruh daftar member basic. tp pas sudah isi data malah gak bisa login. aplikasi gak jelas,Access by KAI,6.13.2,negative
5,9/1/2025 6:05,terimakasih.. dapat dibatalkan tanpa ribet...,Access by KAI,6.13.2,positive
5,9/1/2025 5:50,baguss,Access by KAI,6.13.2,positive
1,9/1/2025 5:30,"aplikasi bego bin tolol.. Udah ribet, gagal mulu pas Topup. klo blom siap punya aplikasi, mending HAPUS aja aplikasi sampah",Access by KAI,6.13.2,negative
1,9/1/2025 5:29,"Fitur refund ribet, sudah refund via akun bank yg sesuai dgn data penumpang pun masih tetap gagal. apalagi yg gak punya akun bank makin ribet nantinya.",Access by KAI,,negative
5,9/1/2025 4:11,sangat sangat baikp,Access by KAI,6.13.2,positive
5,9/1/2025 4:11,keren,Access by KAI,6.13.2,positive
5,9/1/2025 3:51,smg lbh cepat proses pengembalian dananya,Access by KAI,6.13.2,positive
5,9/1/2025 3:34,baik,Access by KAI,6.13.2,positive
1,9/1/2025 2:31,"1. susah dan ribet pembatalan tiket, jaman digital kok masih ribet. 2. pemesanan dengan nama yang sama pada hari dan jam keberangkatan yang sama, masih bisa dilakukan. mestinya auto protect dong, payah nih 3. layanan pelanggan pelayanan lamaaaaaaa sekali nunggunya, begitu dapet cs sambungan putus sendiri harus diulang berkali-kali itupun kalo sabar, habis ini gua hapus aplikasinya",Access by KAI,,negative
5,9/1/2025 2:21,jooss,Access by KAI,6.13.2,positive
5,9/1/2025 2:18,"mantap,mudah dan cepat",Access by KAI,6.13.2,positive
4,9/1/2025 1:27,oke,Access by KAI,6.13.2,positive
4,9/1/2025 0:50,"hai developer, kenapa saya daftar ngga bisa, terus di menu buat sandi ,pas saya buat sandi juga di klik oke lanjutkan itu gak bisa?",Access by KAI,6.13.2,positive
5,9/1/2025 0:38,cepat dan tepat,Access by KAI,6.13.2,positive
5,9/1/2025 0:34,bagus membantu dalam transportasi perjalanan.,Access by KAI,6.13.2,positive
5,8/31/2025 17:18,kereeeen,Access by KAI,6.13.2,positive
5,8/31/2025 16:57,baik,Access by KAI,6.13.2,positive
1,8/31/2025 16:51,"aplikasi tidak jelas, setiap mau pembayaran error terus padahal saya sudah input data dengan benar, tetapi setiap proses pembayaran pasti invalid, developer bisa urus aplikasi mu tidak?, ini aplikasi resmi milik KAI namun terlalu banyak bug/error, masih lebih mudah pakai aplikasi lain untuk pesan tiket kereta",Access by KAI,6.13.2,negative
5,8/31/2025 16:23,josss,Access by KAI,6.13.2,positive
4,8/31/2025 16:11,Tolong stiap selesai transaksi & melakukan pembayaran tampilin di riwayat pembelian/kirim invoicenya ke email dong min ????,Access by KAI,6.13.2,positive
5,8/31/2025 15:47,Mantap,Access by KAI,6.13.2,positive
5,8/31/2025 15:47,cepat mengakses sangat terbantukan,Access by KAI,6.13.2,positive
5,8/31/2025 15:39,aplikasi yang bagus dan menyingkat waktu,Access by KAI,6.13.2,positive
5,8/31/2025 15:11,terimakasih diberi kemudahannya,Access by KAI,6.13.2,positive
1,8/31/2025 14:48,mau beli tiket kok sulit,Access by KAI,6.13.2,negative
1,8/31/2025 14:32,"aplikasinya eror mau login susahnya minta ampun, padahal datanya sudah cocok semua akhirnya di uninstal deh",Access by KAI,,negative
5,8/31/2025 14:27,baguss,Access by KAI,6.13.2,positive
5,8/31/2025 13:32,ok,Access by KAI,6.13.2,positive
1,8/31/2025 11:31,lambat proses nya transaksi udh 2x tp ga ada boarding pas nya,Access by KAI,,negative
3,8/31/2025 11:15,kursi penumpang tidak ada arahnya,Access by KAI,,neutral
5,8/31/2025 9:09,aplikasi sangat baik dan cepat prosesnya,Access by KAI,6.13.2,positive
5,8/31/2025 8:24,good,Access by KAI,6.13.2,neutral
5,8/31/2025 7:37,pemesanan yang benar benar meyakinkan,Access by KAI,6.13.2,positive
1,8/31/2025 7:24,"WEH INI SEMUA UDA BENER,KOK BARANG MAU BIKIN SANDI DISUSAHIN TERUS DARI KEMARIN",Access by KAI,6.13.2,negative
5,8/31/2025 6:54,perfect,Access by KAI,6.13.2,positive
5,8/31/2025 6:41,bagus,Access by KAI,6.13.2,positive
5,8/31/2025 5:36,ok,Access by KAI,6.13.2,positive
5,8/31/2025 4:49,terbaik,Access by KAI,6.13.2,positive
5,8/31/2025 4:18,ok,Access by KAI,6.13.2,positive
1,8/31/2025 4:04,"Lama banget top up nya, masa nunggu 15 menit",Access by KAI,6.13.2,negative
3,8/31/2025 3:09,"Bbrp bulan kemarin sy pakai aplikasi ini dg fitur bs lihat gender penumpang lain, jd Qt bs milih kursi yg Deket dg gender yg Qt inginkan, sy mengapresiasi bagus sekali fitur ini... tp hr ini sy download lg, fitur ini sdh gak ada. Jadi gak bs milih gender disamping kursi Qt... knp ya kak? maaf yaa...sy kasih bintang 3 dulu...kl fitur ini sdh ada lg, nanti sy kasih bintang 5 deh...",Access by KAI,6.13.2,neutral
4,8/31/2025 3:07,baik,Access by KAI,6.13.2,positive
5,8/31/2025 2:58,"Refund pembatalan tiket 7 hari, diawal² dulu satu bulan..??",Access by KAI,6.13.2,positive
5,8/31/2025 2:43,ok banget,Access by KAI,6.13.2,positive
5,8/31/2025 1:05,sangat baik,Access by KAI,6.13.2,positive
5,8/31/2025 1:00,bagus,Access by KAI,6.13.2,positive
5,8/30/2025 23:47,mantap,Access by KAI,6.13.2,positive
1,8/30/2025 23:37,mau login daftar tpi ga bisa simpan.,Access by KAI,,negative
3,8/30/2025 22:36,potongan pembayaran banyak banget,Access by KAI,6.13.2,neutral
1,8/30/2025 22:32,sudah 10 hari lebih. aplikasi tidak bisa digunakan. adakah yang mengalaminya juga. khawatir disitu ada data lengkap kita,Access by KAI,6.13.2,negative
1,8/30/2025 21:26,aplikasi selalu minta pasword padahal sdh benar tp tetrp tdk bisa masuk ??????????,Access by KAI,6.13.2,negative
1,8/30/2025 19:51,"UDAH MENANG WAR TIKET, UDAH BAYAR JUGA, SALDO JUGA UDAH KURANG. TAPI TIKET NGGAK ADA, APLIKASI ANEH.",Access by KAI,,negative
5,8/30/2025 19:07,aplikasi gak bisa buat pesan tiket dari akhir bulan Maret sampe sekarang kenapa ya? udah update bolak balek tapi ttep gabisa buat pesan tiket kereta nya,Access by KAI,6.13.2,negative
2,8/30/2025 18:03,"tolong ditingkatkan lagi utk servernya...jangan sampai looding terus,alhasil kelamaan looding tau2 kursi sudah habis padahal udh pesen tiket udh pas jm 12 mlm,eh malah bisa masuk jm stngah 1 udh habis kursinya",Access by KAI,6.13.2,negative
1,8/30/2025 17:53,aplikasi dongo. Semua aplikasi BUMN kayak sampah,Access by KAI,6.13.2,negative
1,8/30/2025 17:49,beli tiket lokal udah berhasil pembayaran namun tiket tak kunjung ada,Access by KAI,6.13.2,negative
1,8/30/2025 17:48,"hangkrek peh tuku tiket angel men,onok tulisan e not seat avalibe telek??",Access by KAI,6.13.2,negative
3,8/30/2025 17:45,"Server mudah penuh, tiap ganti page selalu lama dan rawan timeout. Scalling up aja, tambah kapasitas hardware²nya, ajukan proposal buat pengadaan, atau alternatif lain pakai cloud. Juga kasih tambahan fitur ""lanjutkan pemesanan"" jadi ketika pelanggan tiba² dikeluarkan saat memesan karena timeout atau server penuh bisa akses pemesanannya lagi dan melanjutkannya. Atau tambah ""waiting room"" jadi ketika server hampir penuh maka pelanggan akan mengantri terlebih dahulu sampai server lebih lega.",Access by KAI,6.13.2,neutral
1,8/30/2025 17:40,"apa-apaan ini? kenapa ketika mau pesan sangat sulit? pasti selalu tertunda lama sehingga saya harus membatalkan pesanan, hari ini malah ada tulisan seat available padahal di list masih tertulis tersedia. padahal saya sudah menunggu 30 menit. access semakin lama semakin menyusahkan????????????",Access by KAI,6.13.2,negative
1,8/30/2025 17:31,"aplikasi jelek ribet lemot, sudah dibayar saldo berkurang malah tiket gk muncul, sudah ditungguin standby loading terus malah gak dapet tiket, gk memudahkan malah bikin susah.",Access by KAI,6.13.2,negative
1,8/30/2025 17:31,Aplikasi sampahh,Access by KAI,6.13.2,negative
5,8/30/2025 17:30,"saya baru saja beli tiket, dan berhasil ini kok ga ada tiket nya",Access by KAI,6.13.2,positive
1,8/30/2025 17:27,Selalu kalah ama bot calo,Access by KAI,6.13.2,negative
3,8/30/2025 17:19,PAS WAR TIKET LEMOT BNGT UDH HMPIR 20 MNT MASIH EROR.,Access by KAI,6.13.2,neutral
1,8/30/2025 17:14,busuk sering terjadi transaksi tinggi,Access by KAI,6.13.2,negative
5,8/30/2025 17:13,Makasih udah ngasih tiket urgent,Access by KAI,,positive
1,8/30/2025 17:12,"gk jelas anj, ngelag terus",Access by KAI,6.13.2,negative
1,8/30/2025 17:10,aplikasi sering eror terutama waktu pembayaran,Access by KAI,6.13.2,negative
5,8/30/2025 15:31,ok,Access by KAI,6.13.2,positive
5,8/30/2025 14:22,sangat bagus,Access by KAI,6.13.2,positive
4,8/30/2025 13:45,"sebel amaaat, setiap buka aplikasi harus update teroooos, maless",Access by KAI,6.13.0,negative
5,8/30/2025 13:35,recommended,Access by KAI,6.13.2,positive
5,8/30/2025 13:17,semoga KAU selalu yg terbaik,Access by KAI,6.13.2,positive
1,8/30/2025 12:40,"aplikasi apaan ini. gua isi saldo lewat BCA, duit udh ketarik tapi saldo di kartu belum nambah-nambah",Access by KAI,6.13.2,negative
5,8/30/2025 12:15,sangat membantu pulang pergi kerja - rumah...,Access by KAI,6.13.2,positive
5,8/30/2025 11:51,sangat membantu untuk pembayaran kereta api ??,Access by KAI,6.13.2,positive
1,8/30/2025 11:29,apk sampah,Access by KAI,6.11.2,negative
5,8/30/2025 11:10,sangat comfortable,Access by KAI,6.13.2,positive
3,8/30/2025 10:02,"tolong dong untuk proses refund pengembalian dana y kaya aplikasi treveloka dan yg lain, ketika refund itu ga nunggu 7 hari, langsung masuk ke rekening, tolong perbaiki lagi sistem y dari tgl 24 refund, sampe skrg tgl 30, dana belum masuk juga ke rekening saya",Access by KAI,6.13.2,neutral
5,8/30/2025 9:51,Bisa beli online dan hanya boarding pass saja,Access by KAI,6.13.2,positive
4,8/30/2025 9:42,ok,Access by KAI,6.13.2,positive
1,8/30/2025 9:06,mau liat riwayat transaksi tidak bisa . padahal mau klaim buat perjalanan dinas sangat di sayangkan sekali . apk sekelas KAI kok begini,Access by KAI,6.13.2,negative
4,8/30/2025 9:04,agak sayang pembatalan tiket hanya bisa dilakukan pada nama penumpang yang juga memiliki akun yang sedang digunakan,Access by KAI,6.13.2,neutral
1,8/30/2025 8:27,"Unduh aplikasi ini hanya bila anda termasuk sebagai penumpang. Apabila anda hanya unduh untuk membeli tiket orang lain, anda tidak akan dapat melakukan perubahan jadwal maupun pembatalan apapun. Anda akan tetap harus melakukannya di loket (stasiun) terdekat. Dan pembatalan anda tetap kena charge 25% dari harga tiket walaupun anda sudah membeli asuransi jaminan ""no cancelation/reschedule fee"".",Access by KAI,6.13.2,negative
1,8/30/2025 7:42,underrate buat login karna kadaluarsa sandi pun lupa....... tak bisa login buat akun pun sama abis 3 ndk paham aku,Access by KAI,6.13.2,negative
3,8/30/2025 6:15,"masukan aja buat KAI perbaiki sistem nya, pesan tiket sering gangguan, dana sudah terpotong tp tiket tidak muncul, pengembalian dana harus hubungi cs itu pun dana tidak langsung kembali, tolong di permudah dan kurangi error nya terima kasih",Access by KAI,6.13.2,neutral
1,8/30/2025 5:48,sekarang aplikasinya sering error buat buka Commuter Line Jabodetabek!,Access by KAI,6.13.2,negative
5,8/30/2025 5:43,maksih loh kai memudahkan kami yang mau naik kereta sama pelayanannya bagus makasih yah,Access by KAI,6.13.2,positive
5,8/30/2025 4:20,okokok,Access by KAI,6.13.2,positive
5,8/30/2025 3:51,mantap,Access by KAI,6.13.2,positive
1,8/30/2025 3:47,"buruk, aplikasi lambat",Access by KAI,6.13.2,negative
1,8/30/2025 2:35,mau bikin akun konfirmasi sandi ga bisa bisa apk cacat,Access by KAI,,negative
1,8/30/2025 2:25,mengecewakan sekali top up di kai pay belum dibuat beli tiket tiba² saldonya terus berkurang padahal gk dibuat beli apa 2 jangan maling dong ini mau beli tiket malah saldonya gk cukup,Access by KAI,6.13.2,negative
5,8/30/2025 2:12,mantap,Access by KAI,6.13.2,positive
1,8/30/2025 2:12,"sering terjadi gangguan, padahal mau beli tiket tapi gk bisa²",Access by KAI,6.13.2,negative
1,8/30/2025 2:02,pakai aplikasi tidak bikin mudah malah tambah susah di bagian pembayaran... aplikasi sampah...,Access by KAI,6.13.2,negative
5,8/30/2025 1:28,gak tau mau komen apa??,Access by KAI,6.9.6,positive
5,8/30/2025 1:22,Aplikasi ini sangat membantu dalam proses pemesanan tiket.Bagus sekali.,Access by KAI,6.13.2,positive
3,8/30/2025 0:55,masih sering nge-hang.,Access by KAI,6.13.2,neutral
5,8/30/2025 0:18,ok,Access by KAI,6.13.2,positive
5,8/29/2025 22:51,bagus,Access by KAI,6.13.2,positive
5,8/29/2025 22:29,"simpel, mudah dan cepat",Access by KAI,6.13.2,positive
2,8/29/2025 21:22,verivikasi gagal terus padahal email dll sudah sesuai. kode otp juga sudah sesuai tapi gak bisa verivikasi. sudah dicoba berulang kali tetep gak bisa.,Access by KAI,6.13.2,negative
5,8/29/2025 16:17,mantul,Access by KAI,5.1.0,positive
2,8/29/2025 15:55,"gak bisa masuk Ke akun, susah login.",Access by KAI,,negative
1,8/29/2025 15:16,"pemesanan selalu waktu pemesanan sudah habis, saya sudah isi secepat2nya selalu notif begitu berulang2 bagaimana ini?",Access by KAI,6.13.2,negative
5,8/29/2025 14:56,bagus,Access by KAI,6.13.2,positive
5,8/29/2025 14:01,cepat tepat,Access by KAI,6.13.2,positive
5,8/29/2025 10:12,apik,Access by KAI,6.13.2,positive
5,8/29/2025 10:04,layanan bagus sekali sesuai cepat,Access by KAI,6.13.2,positive
1,8/29/2025 10:03,"beli 4 tiket commuter line, yang 3 dinyatakan hangus oleh petugas di stasiun balapan solo kasih lihat ke saya peraturan nya",Access by KAI,6.13.2,negative
1,8/29/2025 9:56,"udah hari ke 7, belum juga balik refund nya, bikin estimasi ke 1 - 3, biar lebih cepet atau ganti estimasi 30 hari kerja biar makin lama, nyusahin aja.",Access by KAI,6.13.2,negative
5,8/29/2025 9:21,"Untuk pembatalan tiket, supaya diperbaiki. Contoh: Saya pesan untuk keluarga sendiri, tapi begitu ada keluarga yg tidak jadi berangkat, ternyata sangat sulit untuk dibatalkan/ dikembalikan dananya ke saya.",Access by KAI,6.13.2,negative
2,8/29/2025 9:18,susah daftar member basic.,Access by KAI,6.13.2,negative
3,8/29/2025 9:06,"bikin emosii lemotnya minta ampunnn,gak cocok buat orng yang buru"" mo jatingan baik"" aja juga ttp lemot ngfreez ampunnnn!",Access by KAI,,neutral
3,8/29/2025 7:40,masih agak lama buat refresh saldo kai pay,Access by KAI,6.13.2,neutral
3,8/29/2025 7:16,kurang fast respon aplikasi nya,Access by KAI,6.13.2,neutral
4,8/29/2025 7:06,baik,Access by KAI,6.13.2,positive
5,8/29/2025 6:38,terima kasih atas pelayanan nya,Access by KAI,6.13.2,positive
1,8/29/2025 6:34,"aplikasi busuk ... muter2 ke ke member basic az. kirim notifikasi ke email, gak dikirim kirim",Access by KAI,,negative
1,8/29/2025 6:05,males lah .. abis mulu,Access by KAI,,negative
1,8/29/2025 5:08,"Secara umum sudah bagus, hanya saja perlu ditambahkan opsi pembayaran menggunakan e-money seperti dana, dan gopay",Access by KAI,6.13.2,negative
5,8/29/2025 3:55,Layanan prima,Access by KAI,6.13.2,positive
5,8/29/2025 3:03,good,Access by KAI,6.13.2,positive
4,8/28/2025 23:14,ok,Access by KAI,6.13.2,positive
5,8/28/2025 21:43,ok,Access by KAI,6.13.2,positive
1,8/28/2025 17:58,sangat buruk pesen dua kursi tempatnya selalu berjauhan..... sangat kecewa,Access by KAI,6.13.2,negative
5,8/28/2025 15:45,Saya kasih bintang 5 walau jarang berpergian,Access by KAI,6.13.2,positive
1,8/28/2025 14:40,log out otomatis. sudah gak bisa masuk. kagak suport ??,Access by KAI,,negative
5,8/28/2025 14:21,selalu puas,Access by KAI,6.13.2,positive
5,8/28/2025 13:35,sangat membantu,Access by KAI,6.13.2,positive
1,8/28/2025 13:09,Aneh aplikasi aneh bug,Access by KAI,6.13.2,negative
5,8/28/2025 11:43,bagus,Access by KAI,6.13.2,positive
1,8/28/2025 10:29,aplikasi gak bermutu..metode pembayaran yang jelas lah..kalau mau masarin produk mu itu yg bener jng sembarangan..hampir semua bumn di indonesia kaya gini gak jelas,Access by KAI,6.13.2,negative
3,8/28/2025 10:04,"apa sih ini mau pesen railfoood tiba tiba kluar aplikasi mulu, heran banget",Access by KAI,6.13.2,neutral
5,8/28/2025 9:36,sangat membantu,Access by KAI,,positive
5,8/28/2025 9:33,sangat baik,Access by KAI,6.13.2,positive
5,8/28/2025 9:23,"sangat mudah dalam pelaksanaanya, quick respone",Access by KAI,6.13.2,positive
5,8/28/2025 7:56,access KAI mempermudah pembelian tiket kereta api mau kereta jarak jauh,Access by KAI,,positive
1,8/28/2025 6:47,gak tau lagi dah pakai 3 akun email pada gak bisa semua buat upgrade dan beli tiket ??,Access by KAI,,negative
5,8/28/2025 6:26,pelayanan sangat bagus cepet cocok lah untuk memberikan bintang 5,Access by KAI,6.13.2,positive
5,8/28/2025 4:39,Aplikasi bagus,Access by KAI,6.13.2,positive
4,8/28/2025 4:34,"apk nya bagus. tp kok sering update ya, jd susah harus punya penyimpanan lebih terus.... pliss jgn dibuat ribet",Access by KAI,,neutral
2,8/28/2025 4:29,Sudah 2x top up kai pay via mbanking selalu delay duh. tolong diperbaiki,Access by KAI,6.13.2,negative
4,8/28/2025 4:16,oke,Access by KAI,6.13.2,positive
5,8/28/2025 1:56,????,Access by KAI,6.13.2,positive
3,8/28/2025 1:48,"saya tidak bisa melakukan pesanan di tiket KAI apa sebabnya ya? katanya belum menjadi member basic, saya kurang paham maksudnya apa",Access by KAI,,neutral
1,8/28/2025 1:28,"kenapa pas cari tiket selalu ada keterangan Ups jadwal tidak ditemukan padahal di HP lain bisa, aplikasi udh saya uninstal n saya instal lgi tpi pas cari tiket yg keluar ttp sama,, pdhl saya sering beli tiket lewat aplikasi ini, nanti klo aplikasinya udh normal lagi saya ubah bintangnya..",Access by KAI,6.13.2,negative
5,8/28/2025 0:55,Gooddd,Access by KAI,6.13.2,positive
5,8/28/2025 0:43,lebih mudah dan cepat pesan tiket melalui Access by KAI,Access by KAI,6.13.2,positive
4,8/28/2025 0:33,ok,Access by KAI,6.13.2,positive
5,8/28/2025 0:27,"praktis, mantappp",Access by KAI,6.13.2,positive
5,8/27/2025 23:45,okee memudahkan dalam memesan,Access by KAI,6.13.2,positive
5,8/27/2025 23:12,good pay,Access by KAI,6.13.2,positive
5,8/27/2025 22:39,"bagus, sangat membantu",Access by KAI,6.13.2,positive
4,8/27/2025 18:06,potong top up kakean,Access by KAI,6.13.2,positive
1,8/27/2025 17:35,APLIKASI BURUK ! UDH D TUNGGU SEJAK PKL 00.00 TETAPI NO SEAT AVAILABLE TERUS. BEGITU CEK TIKET UDAH HABIS !!! GA ADA GITU SOLUSI DARI KAI ?,Access by KAI,6.13.2,negative
5,8/27/2025 16:35,puas,Access by KAI,6.13.2,positive
5,8/27/2025 16:07,bagus,Access by KAI,6.13.2,positive
5,8/27/2025 15:37,ok,Access by KAI,6.13.2,positive
5,8/27/2025 15:22,ok,Access by KAI,6.13.2,positive
5,8/27/2025 12:59,sangat membantu dan memudahkan,Access by KAI,6.13.2,positive
1,8/27/2025 12:43,aplikasi bagus cuma pembayaran ny GK jelas. masak sdh TF tiket tidak ada .minta refund tapi proses lama,Access by KAI,,negative
5,8/27/2025 11:52,Servis yg baik. Terimakasih,Access by KAI,6.13.2,positive
5,8/27/2025 11:33,okey,Access by KAI,6.13.2,positive
3,8/27/2025 11:09,"harusnya dimanapun beli tiket muncul d aplikasi kai aces,,,sy beli melalui shope tp tiket sy kok gak muncul ..promo srg tdk terinfo,,hrs nya d info agar semua masyarakat bisa mrasakan promo yg dlaksanakan...",Access by KAI,6.13.2,neutral
1,8/27/2025 10:59,"topup kena 3 ribu.mulu, ga ada pemberitahuan nya",Access by KAI,6.13.2,negative
5,8/27/2025 10:21,aplikasinya ok,Access by KAI,6.13.2,positive
5,8/27/2025 9:40,Sangat simpel serta memberikan banyak kemudahan ...,Access by KAI,6.13.2,positive
5,8/27/2025 9:25,gampang di gunakan,Access by KAI,6.13.2,positive
5,8/27/2025 8:28,sangat membantu,Access by KAI,6.13.2,positive
5,8/27/2025 8:16,ok,Access by KAI,6.13.2,positive
5,8/27/2025 6:25,good,Access by KAI,6.13.2,positive
5,8/27/2025 5:48,menguntungkan bagibumat manusia di seluruh infonesia,Access by KAI,6.13.2,positive
5,8/27/2025 5:46,mantap. tidak ribet.,Access by KAI,6.13.2,positive
5,8/27/2025 5:02,mantap nyaman perjalanan pake kereta,Access by KAI,6.13.2,positive
3,8/27/2025 5:01,Topup nya lama banget KAI PAY nya bikin jengkel... mending kerjasama juga dengan gopay biar enak... buang aja KAI PAY KE LAUT,Access by KAI,6.13.2,neutral
1,8/27/2025 4:42,"masa dibatasi 6 booking perhari? mana booking annya juga error jadi gak bisa booking cuma udah kena limit 6x, klo berhasil dihitung, masa yang gagalnjuga dihitung. apps aneh bayar pake wr gak bisa di-show qrnya gimana mau bayar?",Access by KAI,6.13.2,negative
5,8/27/2025 4:37,membuatnyamanan dalam perjalanan,Access by KAI,6.12.1,positive
5,8/27/2025 4:22,mantul,Access by KAI,6.13.2,positive
