cleaned_content,sentiment
"kenapa ya kok susah kali daftar, padahal email sudah benar, menunggu otp tidak muncul2",0
"aplikasi tiba-tiba mental keluar. pembayaran gangguan mulu, giliran mau di pakai qr kadaluarsa padahal baru saja beli tiket. kacau bukan mempermudah malah memperlambat",0
baik semangat sudah terima,1
maju terus kai,1
aplikasi yang sangat bagus,1
"saya tidak bisa membatalkan tiket saya, padahal waktunya masih lama dari 2 jam sebelum keberangkatan dengan alasan nama saya tidak ada di daftar penumpang padahal saya sudah lunas pembayaran nya",0
"mantap ,",1
"aplikasi tidak jelas masa' kartu jak lingko bisa tidak terbaca di aplikasi nya sendiri mengira pakai aplikasi nya bisa lebih gampang, eh ternyata makin rumit dan tidak jelas",0
mantap.,1
alhamdulillah,1
senang sekali,1
"kai semakin nyaman, semoga banyak tiket² discaunt dan murah disemua jurusan. bravo kai pertahankan kwalitas yang ada dan selalu tingkatkan mutu pelayanannya. jempol ke atas jempol ke atas jempol ke atas",1
"memang produk indonesia ini sampah, tidak bisa login tidak bisa booking. tidak ada maintain sama sekali. wajar bumn merugi setiap saat",0
"saya sangat puas dengan aplikasi transjakarta! dengan aplikasi ini, saya dapat dengan mudah mencari rute bus transjakarta yang sesuai dengan tujuan saya. fitur-fitur seperti lokasi bus secara real-time, jadwal bus, dan informasi tentang rute bus sangat membantu saya dalam perjalanan sehari-hari.",1
ok,1
mantap,1
"setelah di update, aplikasi sering menutup sendiri. tolong diperbaiki",0
sangat membantu masyarakat,1
baik,1
"aplikasinya sangat bagus berguna dan mudah dipahami, berguna sekali karena bisa melacak keberadaan bus dan gakesusahab lagi untuk melihat rute bus masing-masing, mantaap",1
setelah upgrade tidak bisa transaksi. tidak jelas,0
"kenapa mau beli tiket di suruh update,terus di update memasuki kode otp. malah kode otp not valid. ?",0
ini kai kenapa sih. pas mau war tiket apknya error eh giliran tiketnya deh pada habis baru bisa. tidak kebagian tiket deh jadinya wajah sangat marah,0
"tidak jelas benar ini kai, mau pesan tiket jam 00:00 sudah begadang tiba-tiba langsung habis tiket. pas lagi lihat-lihat kursi nge lag terus direfresh malah semua tiket habis. banyak calo kayaknya inimah",0
mantap jempol ke atas,1
perjalanan lebih nyaman dan aman,1
sangat membantu wajah tersenyum dengan mata bahagia,1
ok,1
sangat membantu perjalanan,1
zos,1
mantap,1
sangat memudahkan sekali untuk melihat rute dan halte yang ada. jempol ke atas,1
"untuk staf programmer nya, tolong diperbaikin tentang registrasi akunnya sudah ngisi data penuh, tapi malah pas dapat kode otp pas di klik lanjutkan tidak ada apa apa, pas tidak ada sinyal bisa gagal, pas kode salah bisa terverifikasi salah, tapi pas betul tidak ada perubahan",0
12/07/25. jenis pembayaran tidak lengkap. menyusahkan,0
mantap,1
"error mulu buat pesan tiket, tolong perbaiki dong min",0
ribet mau beli tiket daftar lama dan sulit,0
great service,1
mantab,1
"ini saldo saya tidak bisa digunakan, uang 1 rupiah pun saya tidak rela, aplikasinya mau saya obrak abrik atau kalian perbaiki?",0
mantap,1
"aplikasi loading terus tidak jelas, sudah berhasil payment beberapa kali tapi tidak dapat barcode nya, di ulang lagi tetap tidak ada barcode nya, begitu saja terus sampai saldo habis",0
tidak bisa bayar pakai astrapay? loading mulu,0
mudah,1
bagus nyaman,1
"aplikasi tidak jelas, jangan download aplikasi gjls",0
kebanyakan bug nih aplikasi sampah,0
"untuk perjalanan lokal sangat murah cuma 5rb, terimakasih banyak pt kai",1
sangat membantu,1
"sangat membantu untuk para pekerja di daerah jakarta, aplikasinya memberikan informasi rute dan jadwal bus yang bisa dilihat oleh pengguna setiap saat, keren nih canggih",1
"selalu gagal karena waktu pesanan habis, kita kan lansia",0
"aplikasi nya bagus,mudah dan sangat membantu terimakasih transjakarta melipat tangan",1
praktis,1
"suka banget sama aplikasi ini,lebih memudahkan untuk mencari letak halte transjakarta dan jadwal keberangkatan bus.",1
aplikasi ini sangat membantu,1
terima kasih sangat membantu pesan tiket,1
kebanyakan gangguan loding lama,0
kok sekangan tidak bisa daftar akun basic,0
buat urusan warga lebih mudah dan mengayomi,1
"semoga aplikasi ini menjadi kemudahan dalam perjalanan dengan kai, amin.",1
"tidak bisa masuk ke akun, susah login.",0
sering banget sudah di berhentian stopnya malah jalan saja,0
"sudah download beberapa kali masuk bisa. terus daftar member sudah diisikan ktp, terus verifikasi otp sudah ada nomor masuk ( mau lanjutkan tidak bisa ) perbaiki kai buat pusing saja saya",0
"aplikasi nya sangat membantu untuk anak sekolah yang sering jalan"" ke jakarta",1
jujur pakai ini jadi lebih mudah kemana mana terlebih lagi kalau di daerah jakarta jadi sat set tidak perlu bingung cari rute karena sudah jelas banget disini,1
ngedown aplikasinya sudah 2 hari,0
"aman & nyaman, memiliki tim yang cukup solid , the best transjakarta",1
top,1
pelayanan bagus & tepat waktu,1
sangat membantu dan ada kemudahan alhamdulillah. tetap amanah,1
kalau tidak lemot ya error,0
"mohon maaf untuk fitur perbaruan aplikasinya ada yang membuat kesulitan,terutama untuk pembayarannya.kenapa sudah tidak bisa pakai qris ya?mohon untuk perbaikan diteliti lagi.",0
aplikasi keren,1
"barusan aplikasinya di update tapi kenapa jadi lemot banget sih, nge lag terus",0
"pengaduan karena lupa kata sandi di email lama dan tidak bisa membukanya langsung di tangani tidak sampai 24 jam, terima kasih sudah merespon dan membantu saya, semoga semuanya diberi keberkahan.",1
ya bagus,1
layanan angkutan umum pengumpan yang melayani titik perhentian sampai ke dalam lingkungan pemukiman.,1
mudah akses lu beli tiket,1
mantab kali asli enak ramah tamah lingkungan pokoknya deh,1
sangat bagus,1
"aplikasi transjakarta keren banget,bisa bantu dan memundahkan semua orang,rute nya juga jelas jadi gampang dipahami",1
"hari ini terjadi keterlambatan, tiket yang sudah dibeli dan sudah dijadwalkan tidak bisa digunakan, kedepannya harap diberikan kompensasi atas keterlambatan tersebut.",0
sangat membantu memundahkan perjalanan di jakarta. jadwal & rutenya juga jelas. semoga makin berkembang. mantap,1
"membantu banget sih, proses pembelian tiketnya mudah tidak dibikin ribet dan terbilang cepat, murah juga, banyak pilihan metode pembayaran jadi gampang, aplikasinya juga simpel, mudah dimengerti dan gampang digunakan",1
"mantap. sangat menolong, tidak perlu lagi harus beli 5 kartu buat bawa 4 anak , cukup scan beres",1
amanah,1
sangat membantu untuk pembelian tiket,1
sangat comfortable,1
bagus,1
pesan tiket suruh lewat online tapi aplikasi nya busuk error terus,0
"tidak bisa daftar akun, loading lama banget",0
aplikasi sering error dan lag luar biasa,0
super jelek aplikasi ini. ! di bela membela menunggu sampai jam 12 tapi tidak bisa boking kursi. saya cek terus kok tiba tiba habis. dimana sih.!,0
trimakasih kai,1
mantap nih membantu untuk traveling,1
bagus,1
semoga layanan semakin lebih baik,1
mantap,1
sangat berguna sekaali mempermudah membely karcis,1
"keren bisa pesan tiket kai online dan pembatalan tiket kai online, sukses selalu kai jempol ke atas jempol ke atas jempol ke atas",1
"malah ada bug, tiap mau update ke basic/premium selalu tidak jadi",0
aplikasi ini sangat membantu sekali buat orang yang sering naik transportasi umum bisa lihat halte terdekat bisa lihat perkiraan bus datang dan masih banyak fitur-fitur yang membantu saya,1
"event gede tiket dibikin ribet,aneh",0
bagus,1
bagus,1
"aplikasi bagus, dan selalu update",1
aplikasi lemot,0
"1. nama aplikasi kecil, sulit dilihatnya. harusnya kai tulisannya besar, dan akses tulisannya kecil. 2. mau login sulit, lupa password juga indak bisa. 3. sudah bayar, mau lihat semua tiket yang dipesan tidak bisa.",0
heran meminta update mulu,0
dengan ada nya aplikasi ini memudahkan sekali terima kasih transjakarta,1
sangat bagus,1
tiap hari update terus,0
mantap the best kai,1
bagus lah,1
"upgrade basic saja rasanya jadi orang tolol banget. sudah berhasil tapi ternyata tidak. sampai ulang 10x coba selalu berhasil, tapi tidak. benaran mencerminkan bumn kita nih. iya tapi tidak",0
setelah diupdate masih lancar dibuka. kalau ada kendala aku kasih bintang 1 pokoknya. semoga kai semakin sukses dan pelayanan semakin oke,1
tidak jelas susah bikin akun,0
bagus,1
mantap keren kai,1
lebih mudah pemesanan tiket secara online untuk jarak jauh semoga sukses berkembang dan lebih maju buat kai akses,1
tidak usah sok update kalau makin ribet dan malah ngebug . 17072025 sudah lumayan lagi,0
ok banget,1
"sudah pilih tempat duduk pas mau bayar, error. ketika mencoba dari awal lagi, tempat duduk sudah habis.",0
oke jempol ke atas jempol ke atas nilai seratus,1
trimasih sangat membantu,1
oke,1
"sekarang pergi kemana saja makin mudah dengan transjakarta. aplikasi ini mudah di gunakan, siapa pun bisa mengoperasikannya dan halte busnya pun menyebar dengan merata.",1
"jakarta kota sampah masa tiket sudah bayar bacaanya sudah ke scan tidak bisa ,banyak oknum/korupsi sampai orang orang ribut di stadion jis",0
"aplikasi paling ribet milik pemerintah ya ini, habis update malah tambah tidak jelas peh! mending tidak usah update saja sekalian",0
"""aplikasi transjakarta sangat membantu! info rute dan jadwal bus lengkap, real-time tracking akurat. bikin perjalanan lebih mudah dan efisien. wajib punya buat pengguna tj!""",1
pengalaman yang luar biasa untuk naik mrt. aplikasi yang sangat membantu,1
saya dari kecil deh suka kereta api.dari yang bahan bakar batubara saya deh mengalami,1
"ini pembayarannya cuma bisa pakai astrapay? sudah download astrapay harus terhubung ke ap transjakarta, eh bisa ke ap transjakarta yang lama wajah terlalu lelah",0
"aplikasinya sangat membantu untuk mengetahui rute dan jadwal bus transjakarta. tampilan simpel, mudah digunakan, dan informasinya cukup akurat. cocok buat yang sering bepergian di jakarta. semoga ke depan makin stabil dan cepat pembaruannya.",1
"tolong maintenance aplikasinya di percepat, tau sendiri pesan tiket dadakan itu jadi mahal",0
"sangat membantu sekali aplikasi ini dalam melakukan perjalanan sehari hari, fitur fitur nya juga membantu bagi para penggunanya",1
"balikin ke versi yang lama ,versi baru sering error",0
"tidak bisa buat beli tiket, tidak bisa di klik",0
mantap,1
"terima kasih, sangat terbantu dengan adanya aplikasi ini. jadi lebih cepat, simpel dan sangat sat set sekali. lebih ditingkatkan lagi supaya tidak ketinggalan zaman. jempol ke atas jempol ke atas jempol ke atas",1
pelayanannya buruk,0
sangat memuaskan,1
aplikasi tolol daftar saja susah,0
error mulu,0
"saya sangat puas dengan pengalaman menggunakan transjakarta! bus yang bersih dan nyaman, serta supir yang ramah dan profesional, membuat perjalanan saya menjadi lebih menyenangkan. rute yang luas dan jadwal yang teratur juga memudahkan saya untuk berpindah-pindah tempat di jakarta. selain itu, harga tiket yang terjangkau membuat transjakarta menjadi pilihan yang tepat untuk transportasi sehari-hari. saya sangat merekomendasikan transjakarta kepada teman-teman saya yang ingin berkeliling jakarta",1
jempol ke atas warna kulit cerah-sedang,1
"belakangan ini error tidak bisa beli tiket loading terus, chace sudah dihapus, sudah uninstall-download, internet kencang masih saja loading. tidak ada gunanya sumpah ksl",0
ok,1
aplikasi bagus cuma pembayaran nya tidak jelas. masak sudah tf tiket tidak ada .meminta refund tapi proses lama,0
bagus,1
"semua nya jadi serba instan, suka banget wajah tersenyum dengan 3 hati wajah tersenyum dengan 3 hati wajah tersenyum dengan 3 hati",1
aplikasi nya lemot,0
nice,1
goods .thanks verymuch,1
sangat membantu dan memudahkan dalam pelayanan nya,1
aplikasi sangat membantu untuk menggunakan transportasi transjakarta,1
keren,1
sangat menbantu,1
kebiasaan suka log oug dengan sendirinya dihilangkan lah!,0
beli tiket mudah dan tepat waktu,1
praktis dalam pelayanan,1
sangat bermanfaat dan mempermudah untuk mengetahui titik lokasi bus yang akan tiba,1
"kai akses semakin praktis dan memudahkan informasi perjalanan yang bersifat massal khususnya pengguna kereta api indonesia, terimakasih.",1
mantap,1
sangat membantu,1
kenapa busway nya telat nya lama lama banget sih sumpah yayng di aplikasi kadang tidak sama,0
bagus,1
dimudahkan,1
"bagus untuk penggunaan sehari hari saya naik tj , mudah digunakan, dapat melihat rute bus , mau kemana mana tidak bingung lagi",1
terimakasih memudahkan dalam pesan kerate,1
akses kai easy use dan top,1
cepat dan praktis,1
mudah diakses,1
cal via aplikasi suara kecil update refund tidak ada,0
error mulu padahal ngisi sayang banget saldo,0
easy tapi use,1
jos gandos,1
"lebih mudah untuk membeli tiket, bisa pilih kursi",1
sangat bagus untuk melatih kesabaran,1
sangat membantu,1
bagus & bermanfaat,1
"aplikasi transjakarta sangat berguna untuk saya, saya jadi tidak kesusahan lagi untuk mencari bus terkini",1
aplikasi transjakarta sangat memudahkan buat aku sebagai pengguna transportasi umum di jakarta. aku jadi bisa memperkirakan waktu kedatangan dan perjalanan bis transjakarta. jadi lebih efisien waktu deh.,1
"aplikasi transjakarta sangat membantu aku yang hampir setiap hari bolak-balik bekasi-jakarta huhuhu. bisa lihat jadwal terupdate bisa lihat rute juga a super keren, praktis dan ngebantu banget luv!",1
bagus,1
"aplikasi ini benaran ngebantuin gue banget, karena ada aplikasi ini gue tidak takut lagi kelupaan bawa kartu fisik emoney karena di dalam aplikasi ini sudah bisa beli tiket transjakarta dengan pembayaran via astrapay, pokoknya berguna banget deh bahkan menurut gue lebih oke pakai aplikasi ini ketimbang bawa kartu fisik, biasanya kalau pakai kartu fisik pasti ada saja error lah kesedot saldo banyaklah kalau pakai aplikasi ini tidak bakal jadi masalah deh, aman! thx banget transjakarta! jempol ke atas warna kulit cerah",1
"tolong di perbaiki, sudah saya isi saldo tapi tidak masuk di kaspro tidak cuma sekali kayak begini",0
bagus job,1
"tampilan aplikasinya bagus banget, selain itu juga bekerja secara optimal. jadinya memudahkan pengguna banget",1
aplikasi ini sangat membantu saya,1
ok,1
"mau batalin kreta saja susah banget, padahal nama akun sama nama bank sama, masih saja gagal aneh",0
bagus dan mudah,1
"nice aplikasi ,sangat membantu",1
"keretanya cukup nyaman.kecepatan juga cukup, budaya naik kereta yang mesti terus diedukasi.termasuk menjaga kebersihan",1
"pakai aplikasi transjakarta, perjalanan di jakarta jadi lebih efisien dan hemat. saya bisa mendapat informasi mengenai posisi rute, halte terdekat, dan kepadatan penumpang secara real time.",1
"tolong pembelian tiketnya di permudah. seperti pakai kartu bisa tap ini&out dimana saja. tap ini&out kalau tidak sesuai sama halte yang di pesan tidak bisa keluar, dan terkadang tidak ada pramusapa buat bukain gerbang pintu keluarnya. ini kayak mana aplikasi tidak bisa berfungsi sudah seminggu buffering terus !",0
"disuruh update mulu, tapi tidak ada perbaikan. loading lama. ngebug!",0
mantap aplikasi nya mendukung saat naik mrt,1
cukup puas. semoga ada terobosan baru lagi,1
"nyaman, menyenangkan",1
ok,1
bad,0
bagus,1
aplikasi sering error pesan jam 12 malam error pesan tiket pagi kehabisan kursi halah benerin kenapa ini aplikasi,0
"parah banget deh saldo gue tidak dibalikin sama ini aplikasi, habis top up malah error eh sekarang tidak ada lagi tuh saldonya",0
bagus,1
ok,1
quick respon,1
adanya aplikasi ini sangat membantu saya untuk mencari info ketersedian tempat duduk dan memudah kan untuk pesan.maju terus kereta api indonesia,1
lumayan sip,1
ini aplikasinya bagus dan sangat membantu banget sih apalagi sekarang realtime juga jadinya lebih gampang kalau mau kemana mana,1
"semenjak kebijakan baru bikin emosi, semoga bisa seperti dulu biar di ganti bintangnya",0
"kena modus penipuan, bagaimana bisa saya yang beli tiket, mbelikan orang, eh di cancel sama orgnya, masuk di rekeningmya dana refundnya. aneh banget",0
keren,1
ok,1
tiket tidak bisa di re schedule atau di cencel lagi melalui aplikasi,0
"aplikasi transjakarta sangat membantu! mudah digunakan, info bus dan rute akurat, bikin perjalanan jadi lebih praktis. terima kasih transjakarta! bus datang berkilau",1
bagus,1
aplikasi transjakarta ini bagus dan sangat membantu karena memudahkan saya dalam hal update info terkait jadwal bepergian sehari-hari kemanapun dan kapanpun.,1
sangat membantu saya,1
wajah malaikat wajah malaikat wajah malaikat wajah malaikat wajah malaikat wajah malaikat jempol ke atas jempol ke atas jempol ke atas jempol ke atas jempol ke atas jempol ke atas jempol ke atas,1
"aplikasi sesad, mending tanya ke petugas2 di halte",0
di,1
jempol ke atas,1
ok,1
ingin bergabung melihat seruanya,1
jhoooos,1
mantap dan mudah,1
banyak bug.sudah 2x tidak bisa naik kereta gara-gara kaipay error saldo sudah berkurang tapi keterangan tidak ada transaksi .topup pagi masuk nya malam.payah,0
"awal awal pakai aplikasi ini bagus' saja tapi kesini makin tidak jelas sehabis beli tiket tuh tiket nya tidak muncul di tiket saya tapi saldo sudah berkurang uda di refresh uda keluar dulu dari aplikasi tetap saja tidak ada muncul di tiket saya, di riawayat uda kepotong saldonya. tolong di perbaiki",0
aplikasinya sangat memudahkan kami untuk melihat update bis yang datang. terimakasih transjakarta wajah tersenyum,1
keren,1
sangat membantu perjalanan dan lebih mudah.,1
aplikasi nya sangat membantu terimakasih,1
bagus,1
"aplikasi memudahkan banget buat jalan-jalan, tidak menyesal donloadnya wajah tersenyum lebar dan memejamkan mata",1
jos,1
bagus banget jadi kalau kemana mana lebih sat set dan tidak telat,1
dengan memakai akses by kai lebih cepat dan akurat,1
"mantap lah buatan anak negeri, sukses selalu bray.",1
"aplikasinya bagus,mudah di gunakan",1
aplikasi ini benar-benar memudahkan mobilitas sehari-hari. terima kasih transjakarta sudah terus berinovasi untuk pengguna!,1
terlalu lama proses topup hingga tiket hangus duluan refund menunggu setahun ya tidak diproses kalau tidak ke daopnya. lalu buat apa sistem transaksi online kalau pelayanannya saja tidak menunjang?,0
luar biasa kemudahan dan nyaman,1
puas dengan layanan nya bagus,1
cepat dan mudah,1
mantab,1
"tolong bos, kalau release ap dicek dulu internalnya, masa mau masuk saja tidak bisa. sudah release saja ke publik. mana pakai review palsu buat muji2 lagi.",0
"terlalu lemot, tidak bisa buat orang yang buru2",0
ufdet mulu,0
saya pengguna terbaru kereta alhamdulillah dengan adanya akses by kai bisa mudah untuk memesan tiket,1
bagus aplication,1
"sudah ber kali2 reset password tetap saja dibilang salah password, heran",0
metode pembayaran sangat buruk dan busuk! kalau bisa minuse saja nih rating bintang.,0
"tiket kereta yang diberikan masih ada masalah, saat memasukan tujuan stasiun kramat malah diberikan tiket ke stasiun cikini dan ""diminta"" untuk berjalan dari cikini ke stasiun kramat. untungnya staf di stasiun mau membantu saya untuk keluar dari stasiun.",0
mempermudah masyarakat beli tiket secara online,1
aplikasi yang bagus,1
semoga dengan tranportasi mrt lancar,1
pelayanan tidak bagus terutama sopir2nya,0
aplikasi sampah.berulang kali pesan tiket sudah masukka data gagal terus tertulis not seat available.bolak balik bolak balik. we tau tau tiket habis. memang benar-benar sampah,0
"aplikasinya sangat membantu, lebih praktis juga buat sekarang yang kemana mana tidak mau ribet, harga juga sangat terjangkau.",1
bagus,1
kaca kereta yang tebal atau di kasih kaca film biar kalau ada yang iseng lempar batu.kaca tidak pecah.,1
"saya pakai kartu jaklingko isi ulang di mesin kalian sendiri, pakai gopay sudah berkurang saldo 100 ribu tapi saldo di kartu tetap masih 2 ribu. wah kacau. saya dua kalau begini. ditambah saya pernah brli kartu jaklingko di vending mechine kalian sendiri, tapi tidak bisa isi ulang disana katanya karena itu kartu flaz. kalian ini sostemnya bagaimana ha, perbaiki lah.",0
perfect,1
mantao,1
aplikasi yang sangat berguna,1
"aplikasi tidak jelas,sudah dimasuki otpnya secara benar tetap tidak bisa ,wkwkwk milik negara kwalitas jelek dwitnya di korup ya",0
semakin mantap,1
sangat nyaman untuk menjadi transportasi publik,1
ok,1
bagus & mudah serta murah,1
sangat bermanfaat,1
memuaskan,1
tidak usah repot² lagi ke st buat booking kursi sekarang sudah ada kau akses makin mudah!,1
"ribet reset pin harus di website kai akses tapi web nya tidak bisa,aturan cukup kode otp saja",0
nyaman banget sih pakai aplikasi transjakarta. karena kalau pergi naik transjakarta tidak perlu lagi tanya-tanya satpam untuk rute dan jadwalnya sudah ada di aplikasi dan bisa beli tiket lewat aplikasi juga,1
"aplikasi transjakarta sangat membantu pengguna dalam merencanakan perjalanan, memantau bus secara real-time, dan memudahkan pembayaran digital. antarmukanya cukup mudah digunakan, meski terkadang update posisi bus kurang akurat. secara keseluruhan, aplikasi ini efektif untuk menunjang mobilitas di jakarta.",1
mantap bisa tracking bus,1
ok,1
"90% berfungsi dengan normal, cuman memang masih rada kurang optimal dibeberapa device, keren banget kita jadi bisa tau posisi tj secara realtime, dan rute rutenya lengkap, serta dipermudah pembelian tiketnya tidak seperti dulu",1
tolong itu aplikasi selepas di update kenapa tidak bisa login ke log out sendiri? padahal password tidak lupa. sudah di klik lupa password diganti pun tetap sama malah tambah loading. jangan cuman fitur nya saja yang di kembangin!,0
lelet ketika sudah top up masuk nya lama,0
mantap,1
terlalu banyak bug dan server sering bermasalah serta pernah pada suatu kejadian bahwa tiket yang saya beli tidak muncul,0
